architecture,benchmark,benchmark_key,avg_cpd,avg_wl,successful_seeds,failed_seeds
Iso-Edge_arch,S953,S953,3.0511220000000003,1314.0,5,0
Mix-Edge_arch,S953,S953,2.9365720000000004,1248.2,5,0
Aligned_arch,S953,S953,2.9737359999999997,1203.2,5,0
Striped_arch,S953,S953,3.1239239999999997,1301.2,5,0
Border_arch,S953,S953,3.0109040000000005,1217.2,5,0
2D_arch,abs_DW1024,abs_DW1024,114.7918,27083.0,5,0
Offset_arch,abs_DW1024,abs_DW1024,106.0616,24749.4,5,0
All_top_arch,abs_DW1024,abs_DW1024,105.2734,23906.0,5,0
Iso-Edge_arch,abs_DW1024,abs_DW1024,102.05583999999999,27959.0,5,0
Mix-Edge_arch,abs_DW1024,abs_DW1024,103.71651999999999,28128.2,5,0
Aligned_arch,abs_DW1024,abs_DW1024,106.9942,24454.0,5,0
Striped_arch,abs_DW1024,abs_DW1024,106.5116,25873.4,5,0
Border_arch,abs_DW1024,abs_DW1024,102.5992,28839.4,5,0
